,digest_id,round,dest_loc,dest_well,water_loc,water_well,tip_loc,quant,source_well,source_plate,uL_in,water,DNA,pool,source_loc
1,D3340,1,P9,A1,P11,A1,P8,20.509,A1,D3340-D3435,2.4,19.8,50,pool_50_1,P5
2,D3341,1,P9,B1,P11,A1,P8,61.007,B1,D3340-D3435,0.8,21.4,50,pool_50_1,P5
3,D3342,1,P9,C1,P11,A1,P8,62.705,C1,D3340-D3435,0.8,21.4,50,pool_50_1,P5
4,D3343,1,P9,D1,P11,A1,P8,72.343,D1,D3340-D3435,0.7,21.5,50,pool_50_1,P5
5,D3344,1,P9,E1,P11,A1,P8,26.274,E1,D3340-D3435,1.9,20.3,50,pool_50_1,P5
6,D3345,1,P9,F1,P11,A1,P8,10.674,F1,D3340-D3435,4.7,17.5,50,pool_50_1,P5
7,D3346,1,P9,G1,P11,A1,P8,36.367,G1,D3340-D3435,1.4,20.8,50,pool_50_1,P5
8,D3347,1,P9,H1,P11,A1,P8,7.276,H1,D3340-D3435,6.9,15.3,50,pool_50_1,P5
9,D3348,1,P9,A2,P11,A1,P8,21.639,A2,D3340-D3435,2.3,19.9,50,pool_50_1,P5
10,D3349,1,P9,B2,P11,A1,P8,18.785,B2,D3340-D3435,2.7,19.5,50,pool_50_1,P5
11,D3350,1,P9,C2,P11,A1,P8,15.994,C2,D3340-D3435,3.1,19.1,50,pool_50_1,P5
12,D3352,1,P9,D2,P11,A1,P8,2.92,E2,D3340-D3435,17.1,5.1,50,pool_50_1,P5
13,D3353,1,P9,E2,P11,A1,P8,17.526,F2,D3340-D3435,2.9,19.3,50,pool_50_1,P5
14,D3354,1,P9,F2,P11,A1,P8,9.251,G2,D3340-D3435,5.4,16.8,50,pool_50_1,P5
15,D3355,1,P9,G2,P11,A1,P8,3.263,H2,D3340-D3435,15.3,6.9,50,pool_50_1,P5
16,D3356,1,P9,H2,P11,A1,P8,51.078,A3,D3340-D3435,1,21.2,50,pool_50_1,P5
17,D3357,1,P9,A3,P11,A1,P8,15.526,B3,D3340-D3435,3.2,19,50,pool_50_1,P5
18,D3358,1,P9,B3,P11,A1,P8,5.023,C3,D3340-D3435,10,12.2,50,pool_50_1,P5
19,D3359,1,P9,C3,P11,A1,P8,20.98,D3,D3340-D3435,2.4,19.8,50,pool_50_1,P5
20,D3360,1,P9,D3,P11,A1,P8,22.276,E3,D3340-D3435,2.2,20,50,pool_50_1,P5
21,D3361,1,P9,E3,P11,A1,P8,3.95,F3,D3340-D3435,12.7,9.5,50,pool_50_1,P5
22,D3362,1,P9,F3,P11,A1,P8,9.728,G3,D3340-D3435,5.1,17.1,50,pool_50_1,P5
23,D3363,1,P9,G3,P11,A1,P8,2.814,H3,D3340-D3435,17.8,4.4,50,pool_50_1,P5
24,D3364,1,P9,H3,P11,A1,P8,21.255,A4,D3340-D3435,2.4,19.8,50,pool_50_1,P5
25,D3365,1,P9,A4,P11,A1,P8,30.115,B4,D3340-D3435,1.7,20.5,50,pool_50_1,P5
26,D3366,1,P9,B4,P11,A1,P8,6.776,C4,D3340-D3435,7.4,14.8,50,pool_50_1,P5
27,D3367,1,P9,C4,P11,A1,P8,41.223,D4,D3340-D3435,1.2,21,50,pool_50_1,P5
28,D3368,1,P9,D4,P11,A1,P8,42.421,E4,D3340-D3435,1.2,21,50,pool_50_1,P5
29,D3369,1,P9,E4,P11,A1,P8,4.963,F4,D3340-D3435,10.1,12.1,50,pool_50_1,P5
30,D3370,1,P9,F4,P11,A1,P8,3.275,G4,D3340-D3435,15.3,6.9,50,pool_50_1,P5
31,D3371,1,P9,G4,P11,A1,P8,51.148,H4,D3340-D3435,1,21.2,50,pool_50_1,P5
32,D3372,1,P9,H4,P11,A1,P8,28.756,A5,D3340-D3435,1.7,20.5,50,pool_50_1,P5
33,D3373,1,P9,A5,P11,A1,P8,33.122,B5,D3340-D3435,1.5,20.7,50,pool_50_1,P5
34,D3374,1,P9,B5,P11,A1,P8,49.695,C5,D3340-D3435,1,21.2,50,pool_50_1,P5
35,D3375,1,P9,C5,P11,A1,P8,56.545,D5,D3340-D3435,0.9,21.3,50,pool_50_1,P5
36,D3376,1,P9,D5,P11,A1,P8,21.605,E5,D3340-D3435,2.3,19.9,50,pool_50_1,P5
37,D3377,1,P9,E5,P11,A1,P8,28.987,F5,D3340-D3435,1.7,20.5,50,pool_50_1,P5
38,D3378,1,P9,F5,P11,A1,P8,8.729,G5,D3340-D3435,5.7,16.5,50,pool_50_1,P5
39,D3379,1,P9,G5,P11,A1,P8,10.221,H5,D3340-D3435,4.9,17.3,50,pool_50_1,P5
40,D3380,1,P9,H5,P11,A1,P8,8.54,A6,D3340-D3435,5.9,16.3,50,pool_50_1,P5
41,D3381,1,P9,A6,P11,A1,P8,23.668,B6,D3340-D3435,2.1,20.1,50,pool_50_1,P5
42,D3382,1,P9,B6,P11,A1,P8,29.513,C6,D3340-D3435,1.7,20.5,50,pool_50_1,P5
43,D3383,1,P9,C6,P11,A1,P8,18.387,D6,D3340-D3435,2.7,19.5,50,pool_50_1,P5
44,D3384,1,P9,D6,P11,A1,P8,9.089,E6,D3340-D3435,5.5,16.7,50,pool_50_1,P5
45,D3385,1,P9,E6,P11,A1,P8,3.251,F6,D3340-D3435,15.4,6.8,50,pool_50_1,P5
46,D3386,1,P9,F6,P11,A1,P8,9.798,G6,D3340-D3435,5.1,17.1,50,pool_50_1,P5
47,D3387,1,P9,G6,P11,A1,P8,7.621,H6,D3340-D3435,6.6,15.6,50,pool_50_1,P5
48,D4595,1,P9,H6,P11,A1,P8,6.647,D1,D4588-D4613,7.5,14.7,50,pool_50_1,P6
49,D4587,1,P9,A7,P11,A1,P8,7.101,H12,D4492-D4587,7,15.2,50,pool_50_2,P7
50,D4586,1,P9,B7,P11,A1,P8,19.44,G12,D4492-D4587,2.6,19.6,50,pool_50_2,P7
51,D4585,1,P9,C7,P11,A1,P8,6.254,F12,D4492-D4587,8,14.2,50,pool_50_2,P7
52,D4584,1,P9,D7,P11,A1,P8,3.157,E12,D4492-D4587,15.8,6.4,50,pool_50_2,P7
53,D4583,1,P9,E7,P11,A1,P8,6.735,D12,D4492-D4587,7.4,14.8,50,pool_50_2,P7
54,D4582,1,P9,F7,P11,A1,P8,13.708,C12,D4492-D4587,3.6,18.6,50,pool_50_2,P7
55,D4581,1,P9,G7,P11,A1,P8,9.446,B12,D4492-D4587,5.3,16.9,50,pool_50_2,P7
56,D4580,1,P9,H7,P11,A1,P8,15.1,A12,D4492-D4587,3.3,18.9,50,pool_50_2,P7
57,D4579,1,P9,A8,P11,A1,P8,7.521,H11,D4492-D4587,6.6,15.6,50,pool_50_2,P7
58,D4578,1,P9,B8,P11,A1,P8,4.085,G11,D4492-D4587,12.2,10,50,pool_50_2,P7
59,D4577,1,P9,C8,P11,A1,P8,24.305,F11,D4492-D4587,2.1,20.1,50,pool_50_2,P7
60,D4576,1,P9,D8,P11,A1,P8,4.96,E11,D4492-D4587,10.1,12.1,50,pool_50_2,P7
61,D4575,1,P9,E8,P11,A1,P8,12.488,D11,D4492-D4587,4,18.2,50,pool_50_2,P7
62,D4574,1,P9,F8,P11,A1,P8,2.392,C11,D4492-D4587,20.9,1.3,50,pool_50_2,P7
63,D4573,1,P9,G8,P11,A1,P8,3.52,B11,D4492-D4587,14.2,8,50,pool_50_2,P7
64,D4572,1,P9,H8,P11,A1,P8,7.843,A11,D4492-D4587,6.4,15.8,50,pool_50_2,P7
65,D4571,1,P9,A9,P11,A1,P8,11.903,H10,D4492-D4587,4.2,18,50,pool_50_2,P7
66,D4570,1,P9,B9,P11,A1,P8,11.631,G10,D4492-D4587,4.3,17.9,50,pool_50_2,P7
67,D4569,1,P9,C9,P11,A1,P8,4.271,F10,D4492-D4587,11.7,10.5,50,pool_50_2,P7
68,D4568,1,P9,D9,P11,A1,P8,6.987,E10,D4492-D4587,7.2,15,50,pool_50_2,P7
69,D4567,1,P9,E9,P11,A1,P8,4.08,D10,D4492-D4587,12.3,9.9,50,pool_50_2,P7
70,D4566,1,P9,F9,P11,A1,P8,17.76,C10,D4492-D4587,2.8,19.4,50,pool_50_2,P7
71,D4565,1,P9,G9,P11,A1,P8,11.302,B10,D4492-D4587,4.4,17.8,50,pool_50_2,P7
72,D4564,1,P9,H9,P11,A1,P8,57.317,A10,D4492-D4587,0.9,21.3,50,pool_50_2,P7
73,D4563,1,P9,A10,P11,A1,P8,18.086,H9,D4492-D4587,2.8,19.4,50,pool_50_2,P7
74,D4562,1,P9,B10,P11,A1,P8,15.845,G9,D4492-D4587,3.2,19,50,pool_50_2,P7
75,D4561,1,P9,C10,P11,A1,P8,2.706,F9,D4492-D4587,18.5,3.7,50,pool_50_2,P7
76,D4560,1,P9,D10,P11,A1,P8,25.393,E9,D4492-D4587,2,20.2,50,pool_50_2,P7
77,D4559,1,P9,E10,P11,A1,P8,31.721,D9,D4492-D4587,1.6,20.6,50,pool_50_2,P7
